,tweet_id,text,favorite_count,retweet_count,created_at
0,1081980892099170304,"When Slack goes down, you hear about it A LOT. But it’s less frequent than you think. These are the platforms who s… https://t.co/uCq8ZqYcsl",12,1,Sun Jan 06 18:28:41 +0000 2019
1,1081980889574236161,There’s nothing like a Slack outage to shake up the internet. When it went offline for more than three hours on Jun… https://t.co/zDe9cJnHeu,15,0,Sun Jan 06 18:28:40 +0000 2019
2,1081980886969507842,"Google and its sister services, like Google Docs and Gmail, rarely crash. But on August 16, 2013, the site went dow… https://t.co/zQo4f5X8PF",4,1,Sun Jan 06 18:28:40 +0000 2019
3,1081980884457218048,"Porhub also reaped the rewards of a server issue that caused Fortnite to go down on April 11, 2018. Google Analytic… https://t.co/zkjI5ME4Fy",3,1,Sun Jan 06 18:28:39 +0000 2019
4,1081980883102445568,News sites aren’t the only ones who benefited when YouTube went down this fall. Traffic to the porn site Pornhub su… https://t.co/iUqRsKQau6,3,2,Sun Jan 06 18:28:39 +0000 2019
5,1081980881420541952,"When YouTube went dark for about an hour and a half on October 16, 2018, news sites saw a 20 percent rise in traffi… https://t.co/KxJ5JUGeKZ",5,2,Sun Jan 06 18:28:39 +0000 2019
6,1081980879843483649,"On August 3, 2018, Facebook went offline for about 45 minutes—within seconds users clicked over to news outlets. Di… https://t.co/r7G2TuJtZE",11,3,Sun Jan 06 18:28:38 +0000 2019
7,1081980878845165568,It’s tempting to imagine what we could do with our time if social media didn’t exist. We would be so much more prod… https://t.co/X56fP9g1OO,27,15,Sun Jan 06 18:28:38 +0000 2019
8,1081978760545546240,🔗CHAINS: Alta(146) to NV Stateline(203) (10:20),5,1,Sun Jan 06 18:20:13 +0000 2019
9,1081978478461927425,"RT @Gregatao: ""Never before has such a large portion of humanity been literate, enjoyed a middle-class cushion, lived such long lives, had…",0,12,Sun Jan 06 18:19:06 +0000 2019
10,1081975834372534272,"Jan 6 Ops Update:
-ALL Scheduled Lifts are now Open. Crow's will remain closed.
-15"" in the last 24 hrs and plenty… https://t.co/44YN0IrdGH",2,1,Sun Jan 06 18:08:35 +0000 2019
11,1081971971926061056,RT @tahoe_weather: Avalanche Warning for Tahoe Area. 7:58AM 01/06 until 7:00AM 01/07: https://t.co/eWqCFvhYp1,0,6,Sun Jan 06 17:53:14 +0000 2019
12,1081970652435771392,Ridge top gusts dropped starting at 4 a.m. but have started to go back up again starting at 8 a.m. and will continu… https://t.co/7sLAxOs5wN,6,0,Sun Jan 06 17:48:00 +0000 2019
13,1081969187881242624,“The number of unauthorized immigrants living in the United States was lower in 2016 than at any time since 2004.”… https://t.co/wm1VpDDWvE,47,31,Sun Jan 06 17:42:11 +0000 2019
14,1081968192006676480,All Upper Mountain lots at Alpine Meadows are now full. We are now parking at Deer Park #alpinelifts,3,0,Sun Jan 06 17:38:13 +0000 2019
15,1081967791857491969,"Sherwood, Scott and Lakeview lifts are now open at Alpine Meadows! #alpinelifts",4,0,Sun Jan 06 17:36:38 +0000 2019
16,1081967223118483456,Smaller languages may not have extensive books or parliamentary records to train a language processor. But they do… https://t.co/MCYQr9HtLs,66,35,Sun Jan 06 17:34:22 +0000 2019
17,1081965959995379712,"RT @GeoffRBennett: Trump, speaking to reporters about the shutdown, says the federal workers who are on track to miss a paycheck “will adju…",0,1414,Sun Jan 06 17:29:21 +0000 2019
18,1081965616867799041,RT @goldengateblond: Oh. https://t.co/j9XrLgmUlV,0,197,Sun Jan 06 17:27:59 +0000 2019
19,1081960971130662912,Ops teams are working hard to open terrain. Large amounts of snow are being predicted for the next several days. Be… https://t.co/Sr4iXRWXTk,13,5,Sun Jan 06 17:09:32 +0000 2019
